seq_len,ch_idx
312,22
255,5
221,25
209,30
200,9
189,28
188,27
186,9
163,0
143,12
136,1
133,7
130,19
125,8
122,18
117,11
114,17
110,3
107,22
111,28
106,25
98,24
95,13
94,20
91,29
89,12
88,13
88,27
87,4
85,6
81,24
81,3
81,1
80,4
80,18
79,14
75,20
72,15
72,19
70,21
69,31
69,22
69,0
66,5
64,23
64,28
64,7
63,14
62,20
62,15
60,6
59,11
57,2
56,22
56,7
53,19
53,23
52,24
52,15
51,16
51,26
51,19
50,23
50,24
49,0
48,11
47,21
47,9
48,30
46,6
43,29
43,2
41,14
40,16
39,18
38,13
37,31
39,10
37,10
36,8
35,5
32,2
32,10
31,14
31,26
30,8
29,18
29,1
28,7
28,5
28,27
27,28
27,25
33,21
27,17
23,2
23,16
22,15
21,26
20,13
20,17
19,29
19,1
19,20
18,3
17,27
17,30
16,25
16,31
16,4
16,12
16,26
15,10
14,16
13,17
12,23
12,29
10,31
10,4
10,6
10,8
10,21
9,3
9,11
9,12
8,30
7,0
5,9
