seq_len,ch_idx
246,25
244,14
243,17
223,3
217,13
209,0
208,16
174,22
158,11
157,25
150,18
151,14
148,24
144,14
139,19
134,2
132,20
120,5
114,20
110,12
107,1
103,21
102,28
101,12
99,8
92,27
90,4
85,2
85,8
83,2
82,21
82,19
81,30
81,27
79,26
80,7
79,31
74,21
72,31
67,28
67,0
66,17
69,12
66,16
62,12
60,16
59,4
58,11
56,23
55,5
55,6
54,11
51,6
50,11
50,31
49,8
49,4
49,13
48,9
48,18
48,22
47,29
49,6
45,10
40,27
40,7
40,9
39,19
39,24
39,16
39,22
38,25
35,14
35,17
33,7
32,10
32,31
32,4
31,26
31,1
30,18
29,19
29,29
29,28
27,13
27,17
46,9
30,3
28,15
25,7
24,9
22,10
22,6
21,23
21,18
20,22
20,24
19,29
17,13
16,30
16,15
17,15
16,23
14,26
14,30
13,1
13,5
13,3
12,20
12,0
12,15
11,10
11,23
10,29
10,26
9,30
9,1
9,5
9,24
9,27
8,28
8,3
6,8
6,20
6,21
6,0
5,2
4,25
