seq_len,ch_idx
2048,26
2048,31
2048,26
2048,31
2048,3
2048,7
2048,30
2048,19
2048,10
2048,11
2048,24
2048,14
2048,1
2048,21
2048,1
2048,9
2048,2
2046,15
1998,15
1883,13
1982,30
1543,19
1738,28
1471,2
1709,25
2042,7
1306,17
1255,0
1172,18
1053,14
1046,22
1143,13
1111,8
1008,29
982,20
981,14
1033,18
990,8
928,6
916,13
862,28
1057,28
753,20
815,20
1100,16
690,18
738,21
717,23
680,11
1034,21
1053,29
765,29
671,2
926,23
637,23
613,0
648,10
592,10
584,5
567,5
615,25
712,9
499,4
750,5
492,8
486,3
672,6
459,18
473,11
858,8
401,0
390,17
398,18
408,20
421,9
355,27
439,27
340,23
309,27
387,22
283,22
286,12
274,22
915,0
290,29
289,29
275,12
442,12
278,12
257,25
496,12
245,25
270,6
228,16
216,6
215,9
202,12
466,25
264,4
188,4
176,17
164,4
179,27
168,17
136,16
162,27
133,17
112,27
92,27
86,4
101,16
82,16
75,6
194,24
95,4
91,24
77,4
73,24
695,4
69,16
78,3
48,3
150,22
60,12
39,27
36,12
80,17
21,5
