seq_len,ch_idx
2048,7
2048,15
2048,8
2048,6
2048,5
2048,19
2048,22
2048,14
2048,4
2048,12
2048,4
2048,28
1904,17
1822,31
1809,31
1735,21
1756,26
1713,21
1686,17
1722,24
2048,20
1341,30
1218,11
1193,3
1188,20
1171,2
1165,3
1141,3
1232,2
1056,23
1004,23
988,18
1148,10
928,26
893,11
852,24
881,24
897,24
800,11
731,25
644,13
632,27
1018,14
628,14
624,23
603,9
600,13
579,22
577,22
584,26
559,0
556,25
651,1
558,1
589,8
662,3
506,12
493,19
474,1
695,29
593,1
449,1
520,29
440,10
720,30
452,30
448,30
446,29
442,30
416,30
410,18
392,12
382,2
403,19
371,2
366,28
368,6
359,27
391,1
337,13
315,9
311,0
296,5
279,8
261,5
254,9
510,9
329,28
344,9
221,0
215,18
210,10
310,27
187,27
177,18
179,29
164,0
163,29
161,7
144,16
141,16
131,15
486,13
140,16
129,13
129,15
141,16
441,6
138,13
110,15
112,25
1107,25
98,18
86,7
132,0
78,9
71,29
711,16
89,10
55,16
395,27
43,10
43,18
183,0
29,7
25,27
17,5
9,28
