seq_len,ch_idx
926,31
890,9
882,10
567,6
542,22
538,27
538,20
1292,20
541,27
514,25
435,3
431,12
421,2
411,17
1493,4
413,11
434,7
391,7
381,24
393,24
380,25
381,18
358,26
371,5
357,7
401,13
345,30
345,23
341,24
328,24
319,30
330,15
314,13
310,14
378,21
302,18
871,28
316,1
400,8
266,0
257,14
259,1
252,23
251,1
241,15
255,28
249,28
236,15
237,12
225,24
521,15
238,19
217,11
229,5
211,13
208,0
240,26
229,19
193,3
238,2
194,2
194,2
181,17
1075,29
186,10
172,14
235,23
179,23
176,25
176,27
172,31
170,23
157,19
144,17
142,4
140,14
138,13
135,10
484,26
151,11
189,22
154,22
147,0
129,31
161,21
115,18
108,22
170,12
117,18
116,12
103,26
102,29
153,25
116,17
102,12
88,30
78,30
76,1
74,16
67,1
61,18
1064,16
68,19
46,5
46,16
44,19
209,8
203,6
97,8
53,5
45,8
42,6
41,5
36,8
34,6
274,3
64,3
58,7
53,9
45,0
29,17
286,30
19,14
153,21
56,21
20,11
7,9
7,0
