seq_len,ch_idx
2048,5
2048,0
2048,5
888,19
861,1
844,16
808,17
1521,31
1030,20
762,20
731,24
695,13
681,6
681,30
654,29
628,21
1066,19
610,11
611,4
605,18
590,11
511,22
549,24
521,25
492,8
693,27
535,29
488,19
500,14
484,1
474,19
461,9
453,31
443,12
442,7
463,12
448,21
444,10
432,18
430,8
445,18
442,30
427,0
423,18
405,2
391,24
693,27
391,15
388,12
1001,12
389,28
383,21
369,25
357,0
354,18
350,21
348,25
347,6
470,22
399,29
372,9
354,1
343,7
338,16
332,22
350,9
343,9
339,1
329,11
319,8
316,14
315,16
314,26
332,11
325,1
313,21
368,14
309,30
293,19
293,24
288,10
328,21
300,28
281,24
273,28
272,18
268,17
266,26
298,23
262,10
260,23
260,7
258,27
941,9
379,31
261,28
256,9
254,4
251,15
250,6
244,13
446,15
258,21
249,15
246,28
236,21
233,15
231,1
519,29
317,0
253,22
244,29
234,28
225,10
453,6
268,26
226,6
211,17
569,4
225,13
222,26
218,9
215,3
214,4
309,4
269,23
246,4
227,30
198,6
197,6
189,14
188,3
185,18
199,7
196,3
194,8
189,4
189,18
188,22
179,31
179,19
171,29
196,27
190,8
187,27
184,14
161,2
160,0
156,26
155,28
248,24
223,17
172,14
169,13
166,23
150,20
149,28
148,7
219,26
215,27
162,8
156,3
143,16
138,26
138,28
137,27
136,7
135,8
533,22
133,31
133,22
132,24
125,12
121,25
285,10
120,29
116,12
1060,16
818,25
182,22
137,17
128,11
118,31
112,26
110,13
110,8
103,3
210,1
139,23
125,1
101,31
97,20
91,25
118,23
96,7
92,14
92,11
88,29
87,23
85,7
85,8
141,2
111,2
87,2
82,25
80,2
77,17
69,20
67,2
67,17
65,25
255,15
130,20
82,15
73,10
72,14
67,15
60,20
52,12
104,2
95,23
54,3
50,30
64,3
48,15
45,10
41,22
38,5
206,3
179,30
42,3
38,23
36,13
34,30
31,6
28,12
27,0
26,3
25,2
25,23
703,13
322,30
37,11
31,10
25,16
24,9
22,2
16,15
274,10
65,26
36,7
25,17
15,14
10,7
7,26
2,17
