StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
302000	11	24448	192	24448000000	192000000	256	256000000	
303000	11	25984	192	25984000000	192000000	256	256000000	
304000	11	26176	0	26176000000	0	192	192000000	
305000	11	30784	0	30784000000	0	64	64000000	
306000	11	30912	256	30912000000	256000000	0	0	
307000	11	31936	0	31936000000	0	0	0	
308000	11	30848	0	30848000000	0	0	0	
309000	11	31936	0	31936000000	0	0	0	
310000	11	26432	0	26432000000	0	0	0	
311000	11	3712	0	3712000000	0	0	0	
312000	11	23424	7168	23424000000	7168000000	0	0	
313000	11	11968	9216	11968000000	9216000000	0	0	
314000	11	24320	16384	24320000000	16384000000	0	0	
315000	11	28736	0	28736000000	0	0	0	
316000	11	25792	0	25792000000	0	0	0	
317000	11	29376	0	29376000000	0	0	0	
318000	11	31936	0	31936000000	0	0	0	
319000	11	31424	0	31424000000	0	0	0	
320000	11	31808	0	31808000000	0	0	0	
321000	11	31424	0	31424000000	0	0	0	
322000	11	31872	0	31872000000	0	0	0	
323000	11	31488	0	31488000000	0	0	0	
324000	11	31936	0	31936000000	0	0	0	
325000	11	31424	0	31424000000	0	0	0	
326000	11	32000	0	32000000000	0	0	0	
327000	11	31424	0	31424000000	0	0	0	
328000	11	32000	0	32000000000	0	0	0	
329000	11	31424	0	31424000000	0	0	0	
330000	11	32000	0	32000000000	0	0	0	
331000	11	31360	0	31360000000	0	0	0	
332000	11	31936	0	31936000000	0	0	0	
333000	11	31424	0	31424000000	0	0	0	
334000	11	32000	0	32000000000	0	0	0	
335000	11	31424	0	31424000000	0	0	0	
336000	11	31936	0	31936000000	0	0	0	
337000	11	31424	0	31424000000	0	0	0	
338000	11	32000	0	32000000000	0	0	0	
339000	11	31488	0	31488000000	0	0	0	
340000	11	31936	0	31936000000	0	0	0	
341000	11	31360	0	31360000000	0	0	0	
342000	11	31936	256	31936000000	256000000	0	0	
343000	11	31488	0	31488000000	0	0	0	
344000	11	31936	0	31936000000	0	0	0	
345000	11	31488	0	31488000000	0	0	0	
346000	11	32000	0	32000000000	0	0	0	
347000	11	31424	0	31424000000	0	0	0	
348000	11	20288	0	20288000000	0	0	0	
349000	11	0	0	0	0	0	0	
350000	11	0	0	0	0	0	0	
351000	11	0	0	0	0	0	0	
352000	11	0	0	0	0	0	0	
353000	11	0	0	0	0	0	0	
354000	11	9600	4096	9600000000	4096000000	0	0	
355000	11	29504	0	29504000000	0	0	0	
356000	11	31296	0	31296000000	0	0	0	
357000	11	31936	0	31936000000	0	0	0	
358000	11	31488	0	31488000000	0	0	0	
359000	11	31808	0	31808000000	0	0	0	
360000	11	31488	0	31488000000	0	0	0	
361000	11	31872	0	31872000000	0	0	0	
362000	11	31488	0	31488000000	0	0	0	
363000	11	31936	0	31936000000	0	0	0	
364000	11	31424	0	31424000000	0	0	0	
365000	11	32000	0	32000000000	0	0	0	
366000	11	31424	0	31424000000	0	0	0	
367000	11	31936	0	31936000000	0	0	0	
368000	11	31360	0	31360000000	0	0	0	
369000	11	32000	0	32000000000	0	0	0	
370000	11	31488	0	31488000000	0	0	0	
371000	11	32000	0	32000000000	0	0	0	
372000	11	31552	0	31552000000	0	0	0	
373000	11	31872	0	31872000000	0	0	0	
374000	11	31424	0	31424000000	0	0	0	
375000	11	31936	0	31936000000	0	0	0	
376000	11	31488	0	31488000000	0	0	0	
377000	11	32000	0	32000000000	0	0	0	
378000	11	31488	0	31488000000	0	0	0	
379000	11	32000	0	32000000000	0	0	0	
380000	11	31360	0	31360000000	0	0	0	
381000	11	31936	0	31936000000	0	0	0	
382000	11	31552	0	31552000000	0	0	0	
383000	11	31936	256	31936000000	256000000	0	0	
384000	11	31488	0	31488000000	0	0	0	
385000	11	31936	0	31936000000	0	0	0	
386000	11	31488	0	31488000000	0	0	0	
387000	11	31936	0	31936000000	0	0	0	
388000	11	3392	0	3392000000	0	0	0	
389000	11	0	0	0	0	0	0	
390000	11	23616	8704	23616000000	8704000000	0	0	
391000	11	9152	7680	9152000000	7680000000	0	0	
