StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
68000	17	14144	0	14144000000	0	256	256000000	
69000	17	31040	512	31040000000	512000000	256	256000000	
70000	17	26048	0	26048000000	0	192	192000000	
71000	17	22400	0	22400000000	0	320	320000000	
72000	17	26624	512	26624000000	512000000	256	256000000	
73000	17	26560	0	26560000000	0	256	256000000	
74000	17	30912	0	30912000000	0	0	0	
75000	17	31936	0	31936000000	0	0	0	
76000	17	30784	0	30784000000	0	0	0	
77000	17	23808	0	23808000000	0	0	0	
78000	17	576	0	576000000	0	0	0	
79000	17	30784	3968	30784000000	3968000000	0	0	
80000	17	31616	18112	31616000000	18112000000	0	0	
81000	17	9792	10688	9792000000	10688000000	0	0	
82000	17	17984	10752	17984000000	10752000000	0	0	
83000	17	12864	22016	12864000000	22016000000	0	0	
84000	17	25024	0	25024000000	0	0	0	
85000	17	26048	0	26048000000	0	0	0	
86000	17	31296	0	31296000000	0	0	0	
87000	17	31360	0	31360000000	0	0	0	
88000	17	31936	0	31936000000	0	0	0	
89000	17	31360	0	31360000000	0	0	0	
90000	17	32000	0	32000000000	0	0	0	
91000	17	29568	0	29568000000	0	0	0	
92000	17	29824	0	29824000000	0	0	0	
93000	17	31424	0	31424000000	0	0	0	
94000	17	31872	0	31872000000	0	0	0	
95000	17	31424	0	31424000000	0	0	0	
96000	17	31936	0	31936000000	0	0	0	
97000	17	31488	0	31488000000	0	0	0	
98000	17	31808	0	31808000000	0	0	0	
99000	17	31424	0	31424000000	0	0	0	
100000	17	31936	0	31936000000	0	0	0	
101000	17	31552	0	31552000000	0	0	0	
102000	17	31872	0	31872000000	0	0	0	
103000	17	31488	0	31488000000	0	0	0	
104000	17	31872	0	31872000000	0	0	0	
105000	17	31488	0	31488000000	0	0	0	
106000	17	31936	0	31936000000	0	0	0	
107000	17	31488	0	31488000000	0	0	0	
108000	17	31936	0	31936000000	0	0	0	
109000	17	31424	0	31424000000	0	0	0	
110000	17	32000	0	32000000000	0	0	0	
111000	17	31488	0	31488000000	0	0	0	
112000	17	31808	0	31808000000	0	0	0	
113000	17	31424	512	31424000000	512000000	0	0	
114000	17	31936	0	31936000000	0	0	0	
115000	17	31552	0	31552000000	0	0	0	
116000	17	31744	0	31744000000	0	0	0	
117000	17	31488	0	31488000000	0	0	0	
118000	17	16384	0	16384000000	0	0	0	
119000	17	0	0	0	0	0	0	
120000	17	0	0	0	0	0	0	
121000	17	0	0	0	0	0	0	
122000	17	0	0	0	0	0	0	
123000	17	7872	5504	7872000000	5504000000	0	0	
124000	17	23616	2688	23616000000	2688000000	0	0	
125000	17	31808	0	31808000000	0	0	0	
126000	17	31552	0	31552000000	0	0	0	
127000	17	31872	0	31872000000	0	0	0	
128000	17	31488	0	31488000000	0	0	0	
129000	17	31872	0	31872000000	0	0	0	
130000	17	31488	0	31488000000	0	0	0	
131000	17	32000	0	32000000000	0	0	0	
132000	17	26624	0	26624000000	0	0	0	
133000	17	31616	0	31616000000	0	0	0	
134000	17	31424	0	31424000000	0	0	0	
135000	17	31872	0	31872000000	0	0	0	
136000	17	31424	0	31424000000	0	0	0	
137000	17	31872	0	31872000000	0	0	0	
138000	17	31424	0	31424000000	0	0	0	
139000	17	32000	0	32000000000	0	0	0	
140000	17	31424	0	31424000000	0	0	0	
141000	17	31936	0	31936000000	0	0	0	
142000	17	31424	0	31424000000	0	0	0	
