StartCycle	NumCalculations	
0	2560	
1001	2560	
2002	0	
3003	0	
4004	1697792	
5005	0	
6006	0	
7007	0	
8008	0	
9009	0	
10010	0	
11011	626688	
12012	2050048	
13013	1044480	
14014	2050048	
15015	2050048	
16016	2050048	
17017	2050048	
18018	2050048	
19019	2050048	
20020	2050048	
21021	2050048	
22022	2050048	
23023	1312768	
24024	2031616	
25025	2050048	
26026	1712128	
27027	2050048	
28028	2050048	
29029	2050048	
30030	2050048	
31031	2050048	
32032	2050048	
33033	49312	
34034	5728	
35035	6992	
36036	1312928	
37037	0	
38038	0	
39039	0	
40040	0	
41041	0	
42042	0	
43043	301056	
44044	837632	
45045	1673216	
46046	1304576	
47047	1036288	
48048	2050048	
49049	2050048	
50050	2050048	
51051	2050048	
52052	1685504	
53053	2050048	
54054	1032192	
55055	2050048	
56056	2050048	
57057	1937408	
58058	931840	
59059	2050048	
60060	2050048	
61061	1746944	
62062	1185792	
63063	2050048	
64064	2050048	
65065	2050048	
66066	2050048	
67067	2050048	
68068	1663136	
69069	958976	
70070	0	
71071	1138688	
72072	1449984	
73073	1552384	
74074	0	
75075	471040	
76076	2050048	
77077	2050048	
78078	2050048	
79079	1009840	
80080	240	
81081	592	
82082	1616	
83083	320	
84084	918656	
85085	487424	
86086	0	
87087	497664	
88088	135168	
89089	538624	
90090	0	
91091	1325056	
92092	368640	
93093	184320	
94094	1974272	
95095	1509376	
96096	2050048	
97097	2050048	
98098	2050048	
99099	1134592	
100100	2050048	
101101	2050048	
102102	1675264	
103103	817152	
104104	2050048	
105105	2050048	
106106	612352	
107107	1525760	
108108	2050048	
109109	2050048	
110110	792576	
111111	1320960	
112112	2050048	
113113	2050048	
114114	964608	
115115	1437696	
116116	2050048	
117117	2050048	
118118	2050048	
119119	2050048	
120120	2050048	
121121	2050048	
122122	2050048	
123123	1505856	
124124	448	
125125	0	
126126	51200	
127127	1843200	
128128	0	
129129	0	
130130	0	
131131	0	
132132	798720	
133133	1978368	
134134	2050048	
135135	2050048	
136136	1728512	
137137	0	
138138	1331200	
139139	2050048	
140140	1759232	
141141	0	
142142	1550336	
143143	2050048	
144144	1540096	
145145	0	
146146	1384448	
147147	2050048	
148148	1705984	
149149	0	
150150	1574912	
151151	2050048	
152152	1515520	
153153	0	
154154	1873920	
155155	2050048	
156156	2027520	
157157	2050048	
158158	2050048	
159159	1605632	
160160	0	
161161	528	
162162	1696	
163163	1280	
164164	2400	
165165	690416	
166166	450560	
167167	749568	
168168	1830912	
169169	0	
170170	0	
171171	2002944	
172172	2050048	
173173	2050048	
174174	1394688	
175175	1087488	
176176	2050048	
177177	2050048	
178178	378880	
179179	1349632	
180180	2050048	
181181	2050048	
182182	1263616	
183183	1540096	
184184	2050048	
185185	2050048	
186186	1171456	
187187	1703936	
188188	2050048	
189189	2050048	
190190	2050048	
191191	2050048	
192192	2050048	
193193	2050048	
194194	798720	
195195	1534880	
196196	88928	
197197	1888480	
198198	0	
199199	477184	
200200	1257472	
201201	1234944	
202202	1062912	
203203	2050048	
204204	2050048	
205205	1091792	
206206	208	
207207	608	
208208	1040	
209209	800	
210210	525520	
211211	913408	
212212	552960	
213213	0	
214214	0	
215215	1105920	
216216	978944	
217217	0	
218218	38912	
219219	1806336	
220220	1966080	
221221	2009088	
222222	1761280	
223223	1951744	
224224	2050048	
225225	2050048	
226226	2050048	
227227	1064960	
228228	1583104	
229229	2050048	
230230	1376256	
231231	98304	
232232	2050048	
233233	2050048	
234234	2050048	
235235	571392	
236236	1865728	
237237	2050048	
238238	1179648	
239239	391168	
240240	2050048	
241241	2050048	
242242	1894400	
243243	552960	
244244	2023424	
245245	2050048	
246246	2050048	
247247	2050048	
248248	2050048	
249249	2050048	
250250	1452944	
251251	815216	
252252	587776	
253253	913408	
254254	0	
255255	0	
256256	0	
257257	0	
258258	0	
259259	571392	
260260	2050048	
261261	2050048	
262262	2050048	
263263	2050048	
264264	1234944	
265265	1843200	
266266	2050048	
267267	894976	
268268	0	
269269	1445888	
270270	2050048	
271271	595968	
272272	288768	
273273	2050048	
274274	2050048	
275275	1271808	
276276	272384	
277277	2050048	
278278	1804288	
279279	1533952	
280280	0	
281281	1740800	
282282	2050048	
283283	71680	
284284	1376256	
285285	2050048	
286286	2050048	
287287	2050048	
288288	366640	
289289	480	
290290	976	
291291	0	
292292	4640	
293293	0	
294294	1128448	
295295	700416	
296296	536576	
297297	16384	
298298	987136	
299299	249856	
300300	0	
301301	1075200	
302302	1943552	
303303	2050048	
304304	2050048	
305305	2050048	
306306	2027520	
307307	2050048	
308308	2050048	
309309	1572864	
310310	1800192	
311311	2050048	
312312	1736704	
313313	522240	
314314	2050048	
315315	2050048	
316316	2050048	
317317	679936	
318318	2050048	
319319	2050048	
320320	2050048	
321321	2050048	
322322	2050048	
323323	2050048	
324324	1534656	
325325	10208	
326326	0	
327327	739328	
328328	829440	
329329	0	
330330	0	
331331	1062912	
332332	2050048	
333333	2050048	
334334	2050048	
335335	1269856	
336336	400	
337337	512	
338338	1536	
339339	1120	
340340	2480	
341341	0	
342342	0	
343343	1533952	
344344	274432	
345345	1486848	
346346	0	
347347	1837056	
348348	2050048	
349349	1089536	
350350	659456	
351351	2050048	
352352	2050048	
353353	2050048	
354354	1417216	
355355	2050048	
356356	1527808	
357357	2050048	
358358	1882112	
359359	761856	
360360	980992	
