StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
0	21	30720	26112	30720000000	26112000000	0	0	
1000	21	7744	6656	7744000000	6656000000	0	0	
2000	21	23104	0	23104000000	0	0	0	
3000	21	29888	0	29888000000	0	0	0	
4000	21	31872	0	31872000000	0	0	0	
5000	21	31424	0	31424000000	0	0	0	
6000	21	31744	0	31744000000	0	0	0	
7000	21	31424	0	31424000000	0	0	0	
8000	21	31872	0	31872000000	0	0	0	
9000	21	31424	0	31424000000	0	0	0	
10000	21	31872	0	31872000000	0	0	0	
11000	21	30400	0	30400000000	0	0	0	
12000	21	29440	0	29440000000	0	0	0	
13000	21	31104	0	31104000000	0	0	0	
14000	21	31680	1024	31680000000	1024000000	0	0	
15000	21	19200	0	19200000000	0	0	0	
16000	21	4096	0	4096000000	0	0	0	
17000	21	0	0	0	0	0	0	
18000	21	0	0	0	0	0	0	
19000	21	0	0	0	0	0	0	
20000	21	0	0	0	0	0	0	
21000	21	0	0	0	0	0	0	
