StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
32000	13	15360	512	15360000000	512000000	768	768000000	
33000	13	25472	18304	25472000000	18304000000	768	768000000	
34000	13	8576	30592	8576000000	30592000000	768	768000000	
35000	13	0	256	0	256000000	384	384000000	
36000	13	17216	0	17216000000	0	1152	1152000000	
37000	13	21120	64	21120000000	64000000	768	768000000	
38000	13	26880	64	26880000000	64000000	1152	1152000000	
39000	13	24896	0	24896000000	0	1152	1152000000	
40000	13	24832	128	24832000000	128000000	1152	1152000000	
41000	13	28480	0	28480000000	0	768	768000000	
42000	13	30976	960	30976000000	960000000	0	0	
43000	13	31936	64	31936000000	64000000	0	0	
44000	13	30912	4224	30912000000	4224000000	0	0	
45000	13	31936	3264	31936000000	3264000000	0	0	
46000	13	31296	1280	31296000000	1280000000	0	0	
47000	13	24704	0	24704000000	0	320	320000000	
48000	13	25536	0	25536000000	0	256	256000000	
49000	13	24832	0	24832000000	0	320	320000000	
50000	13	26944	0	26944000000	0	192	192000000	
51000	13	19072	0	19072000000	0	320	320000000	
52000	13	18816	0	18816000000	0	192	192000000	
53000	13	1024	0	1024000000	0	384	384000000	
54000	13	1024	0	1024000000	0	128	128000000	
55000	13	0	0	0	0	448	448000000	
56000	13	0	0	0	0	192	192000000	
57000	13	0	0	0	0	320	320000000	
58000	13	0	0	0	0	256	256000000	
59000	13	0	0	0	0	384	384000000	
60000	13	0	0	0	0	192	192000000	
61000	13	0	0	0	0	448	448000000	
62000	13	0	0	0	0	192	192000000	
63000	13	0	0	0	0	384	384000000	
64000	13	0	0	0	0	192	192000000	
65000	13	0	0	0	0	384	384000000	
66000	13	0	0	0	0	192	192000000	
67000	13	0	0	0	0	384	384000000	
68000	13	0	512	0	512000000	256	256000000	
69000	13	0	0	0	0	320	320000000	
70000	13	0	0	0	0	256	256000000	
71000	13	0	0	0	0	384	384000000	
72000	13	0	0	0	0	192	192000000	
73000	13	0	0	0	0	192	192000000	
