StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
442000	19	8896	17152	8896000000	17152000000	0	0	
443000	19	29120	0	29120000000	0	0	0	
444000	19	21696	1536	21696000000	1536000000	0	0	
445000	19	20864	0	20864000000	0	0	0	
446000	19	15168	0	15168000000	0	0	0	
447000	19	31936	1024	31936000000	1024000000	0	0	
448000	19	18432	0	18432000000	0	0	0	
449000	19	0	0	0	0	0	0	
450000	19	0	0	0	0	0	0	
451000	19	1536	512	1536000000	512000000	0	0	
452000	19	31232	0	31232000000	0	0	0	
453000	19	31872	11776	31872000000	11776000000	0	0	
454000	19	23360	12032	23360000000	12032000000	0	0	
455000	19	10304	25344	10304000000	25344000000	0	0	
456000	19	16704	0	16704000000	0	0	0	
457000	19	25664	10240	25664000000	10240000000	0	0	
458000	19	4224	17664	4224000000	17664000000	0	0	
459000	19	12736	21248	12736000000	21248000000	0	0	
460000	19	22208	0	22208000000	0	0	0	
461000	19	31808	0	31808000000	0	0	0	
462000	19	31424	0	31424000000	0	0	0	
463000	19	31936	0	31936000000	0	0	0	
464000	19	31360	0	31360000000	0	0	0	
465000	19	31936	0	31936000000	0	0	0	
466000	19	31424	0	31424000000	0	0	0	
467000	19	29696	0	29696000000	0	0	0	
468000	19	31168	0	31168000000	0	0	0	
469000	19	31104	0	31104000000	0	0	0	
470000	19	31744	0	31744000000	0	0	0	
471000	19	31360	0	31360000000	0	0	0	
472000	19	31872	2560	31872000000	2560000000	0	0	
473000	19	31488	0	31488000000	0	0	0	
474000	19	31936	0	31936000000	0	0	0	
475000	19	31488	0	31488000000	0	0	0	
476000	19	31936	0	31936000000	0	0	0	
477000	19	29568	0	29568000000	0	0	0	
478000	19	8128	0	8128000000	0	0	0	
479000	19	0	0	0	0	0	0	
480000	19	0	0	0	0	0	0	
481000	19	0	0	0	0	0	0	
482000	19	0	0	0	0	0	0	
483000	19	0	0	0	0	0	0	
484000	19	0	0	0	0	0	0	
485000	19	0	0	0	0	0	0	
486000	19	0	0	0	0	0	0	
487000	19	0	0	0	0	0	0	
488000	19	0	0	0	0	0	0	
489000	19	0	0	0	0	0	0	
490000	19	0	0	0	0	0	0	
491000	19	0	0	0	0	0	0	
492000	19	0	0	0	0	0	0	
493000	19	0	0	0	0	0	0	
494000	19	22208	20864	22208000000	20864000000	0	0	
495000	19	14144	4224	14144000000	4224000000	0	0	
496000	19	31616	0	31616000000	0	0	0	
497000	19	23616	0	23616000000	0	0	0	
498000	19	31808	0	31808000000	0	0	0	
499000	19	31232	0	31232000000	0	0	0	
500000	19	31936	0	31936000000	0	0	0	
501000	19	31424	0	31424000000	0	0	0	
502000	19	31936	0	31936000000	0	0	0	
503000	19	31424	0	31424000000	0	0	0	
504000	19	29632	0	29632000000	0	0	0	
505000	19	31424	0	31424000000	0	0	0	
506000	19	31872	0	31872000000	0	0	0	
507000	19	31488	0	31488000000	0	0	0	
508000	19	31552	0	31552000000	0	0	0	
509000	19	31744	2560	31744000000	2560000000	0	0	
510000	19	31424	0	31424000000	0	0	0	
511000	19	31872	0	31872000000	0	0	0	
512000	19	31552	0	31552000000	0	0	0	
513000	19	9536	0	9536000000	0	0	0	
514000	19	0	0	0	0	0	0	
515000	19	0	0	0	0	0	0	
516000	19	0	0	0	0	0	0	
517000	19	0	0	0	0	0	0	
518000	19	0	0	0	0	0	0	
519000	19	0	0	0	0	0	0	
520000	19	0	0	0	0	0	0	
521000	19	0	0	0	0	0	0	
522000	19	0	0	0	0	0	0	
523000	19	0	0	0	0	0	0	
524000	19	0	0	0	0	0	0	
525000	19	0	0	0	0	0	0	
526000	19	0	512	0	512000000	0	0	
527000	19	19008	0	19008000000	0	0	0	
528000	19	30976	8832	30976000000	8832000000	0	0	
529000	19	31424	21248	31424000000	21248000000	0	0	
530000	19	16896	18816	16896000000	18816000000	0	0	
531000	19	0	0	0	0	0	0	
532000	19	0	256	0	256000000	0	0	
