StartCycle	ChannelID	MemoryReads	MemoryWrites	MemoryReadBandwidth	MemoryWriteBandwidth	PIMReads	PIMReadBandwidth	
100000	3	512	0	512000000	0	0	0	
101000	3	25216	512	25216000000	512000000	1024	1024000000	
102000	3	22592	0	22592000000	0	2048	2048000000	
103000	3	19264	0	19264000000	0	1024	1024000000	
104000	3	7552	1280	7552000000	1280000000	2048	2048000000	
105000	3	10816	6912	10816000000	6912000000	1024	1024000000	
106000	3	13824	8448	13824000000	8448000000	1536	1536000000	
107000	3	30720	0	30720000000	0	0	0	
108000	3	31872	128	31872000000	128000000	0	0	
109000	3	30720	64	30720000000	64000000	0	0	
110000	3	31872	1472	31872000000	1472000000	0	0	
111000	3	31360	0	31360000000	0	0	0	
112000	3	31872	0	31872000000	0	0	0	
113000	3	26496	512	26496000000	512000000	0	0	
114000	3	30912	0	30912000000	0	0	0	
115000	3	17024	0	17024000000	0	0	0	
116000	3	0	6144	0	6144000000	0	0	
117000	3	0	0	0	0	0	0	
118000	3	0	0	0	0	0	0	
119000	3	0	0	0	0	0	0	
120000	3	0	0	0	0	0	0	
121000	3	0	0	0	0	0	0	
122000	3	19008	13760	19008000000	13760000000	0	0	
123000	3	24320	0	24320000000	0	256	256000000	
124000	3	23680	0	23680000000	0	192	192000000	
125000	3	26112	0	26112000000	0	256	256000000	
126000	3	27200	512	27200000000	512000000	192	192000000	
127000	3	25088	0	25088000000	0	320	320000000	
128000	3	26048	0	26048000000	0	192	192000000	
129000	3	25024	64	25024000000	64000000	320	320000000	
130000	3	23488	0	23488000000	0	192	192000000	
131000	3	30080	0	30080000000	0	128	128000000	
132000	3	28288	0	28288000000	0	0	0	
133000	3	256	0	256000000	0	0	0	
134000	3	0	0	0	0	0	0	
135000	3	0	0	0	0	0	0	
136000	3	0	0	0	0	0	0	
137000	3	0	64	0	64000000	0	0	
138000	3	16384	2688	16384000000	2688000000	0	0	
139000	3	8320	7872	8320000000	7872000000	0	0	
140000	3	21440	6784	21440000000	6784000000	0	0	
141000	3	31808	0	31808000000	0	0	0	
142000	3	31296	0	31296000000	0	0	0	
143000	3	31872	512	31872000000	512000000	0	0	
144000	3	31616	0	31616000000	0	0	0	
145000	3	31936	0	31936000000	0	0	0	
146000	3	24832	0	24832000000	0	0	0	
147000	3	0	0	0	0	0	0	
148000	3	0	0	0	0	0	0	
